CUST001,2025-06-21T15:24:45.228Z,0.8847,236.3,0.79
CUST002,2025-06-21T15:24:45.228Z,1.6339,233.4,0.5
CUST003,2025-06-21T15:24:45.228Z,0.7976,235.6,0.97
CUST004,2025-06-21T15:24:45.228Z,0.3121,230.4,0.85
CUST005,2025-06-21T15:24:45.228Z,1.5575,235.9,0.92
CUST006,2025-06-21T15:24:45.228Z,0.875,239.5,0.8
CUST007,2025-06-21T15:24:45.228Z,0.7369,235.7,0.69
CUST008,2025-06-21T15:24:45.228Z,1.1593,238.7,0.52
CUST009,2025-06-21T15:24:45.228Z,0.8363,230.6,0.63
CUST010,2025-06-21T15:24:45.228Z,0.2682,238.8,0.97
CUST011,2025-06-21T15:24:45.228Z,0.41,238.3,0.62
CUST012,2025-06-21T15:24:45.228Z,0.5352,236,0.67
CUST013,2025-06-21T15:24:45.228Z,1.6753,239.4,0.74
CUST014,2025-06-21T15:24:45.228Z,1.6594,232.1,0.94
CUST015,2025-06-21T15:24:45.228Z,0.526,235.7,0.59
CUST016,2025-06-21T15:24:45.228Z,0.5119,231.9,0.68
CUST017,2025-06-21T15:24:45.228Z,0.7794,235.7,0.9
CUST018,2025-06-21T15:24:45.228Z,0.3257,239.6,0.7
CUST019,2025-06-21T15:24:45.228Z,0.1882,230.8,0.87
CUST020,2025-06-21T15:24:45.228Z,1.0912,231.7,0.93
CUST021,2025-06-21T15:24:45.228Z,1.9423,234,0.62
CUST022,2025-06-21T15:24:45.228Z,0.8744,239.2,0.63
CUST023,2025-06-21T15:24:45.228Z,0.1567,234.1,0.57
CUST024,2025-06-21T15:24:45.228Z,1.5227,234.9,0.95
CUST025,2025-06-21T15:24:45.228Z,1.5571,233.9,0.76
CUST026,2025-06-21T15:24:45.228Z,0.7113,238.8,0.67
CUST027,2025-06-21T15:24:45.228Z,0.8735,236.2,0.96
CUST028,2025-06-21T15:24:45.228Z,0.8852,238.8,0.77
CUST029,2025-06-21T15:24:45.228Z,1.8899,236.1,0.83
CUST030,2025-06-21T15:24:45.228Z,1.9886,236,0.55
CUST031,2025-06-21T15:24:45.228Z,0.1094,233.8,0.69
CUST032,2025-06-21T15:24:45.228Z,1.79,236.2,0.76
CUST033,2025-06-21T15:24:45.228Z,1.8771,239.2,0.63
CUST034,2025-06-21T15:24:45.228Z,1.8374,234.9,0.62
CUST035,2025-06-21T15:24:45.228Z,0.288,230.5,0.91
CUST036,2025-06-21T15:24:45.228Z,1.9064,237.9,0.83
CUST037,2025-06-21T15:24:45.228Z,1.1264,230,0.53
CUST038,2025-06-21T15:24:45.228Z,1.7695,237.3,0.83
CUST039,2025-06-21T15:24:45.228Z,0.4429,230.3,0.55
CUST040,2025-06-21T15:24:45.228Z,0.4167,238.3,0.96
CUST041,2025-06-21T15:24:45.228Z,1.7049,234.3,0.61
CUST042,2025-06-21T15:24:45.228Z,1.5974,234.4,0.66
CUST043,2025-06-21T15:24:45.228Z,0.4214,232.5,0.81
CUST044,2025-06-21T15:24:45.228Z,1.2064,239.8,0.55
CUST045,2025-06-21T15:24:45.228Z,0.3434,237,0.98
CUST046,2025-06-21T15:24:45.228Z,0.2651,236.2,0.55
CUST047,2025-06-21T15:24:45.228Z,0.7761,238.1,0.76
CUST048,2025-06-21T15:24:45.228Z,1.9963,231,0.98
CUST049,2025-06-21T15:24:45.228Z,0.6364,239.2,0.6
CUST050,2025-06-21T15:24:45.228Z,1.831,230,0.94
CUST051,2025-06-21T15:24:45.228Z,0.2774,238.6,0.97
CUST052,2025-06-21T15:24:45.228Z,1.7409,235.4,0.94
CUST053,2025-06-21T15:24:45.228Z,1.5807,238.7,1
CUST054,2025-06-21T15:24:45.228Z,0.476,235.6,0.79
CUST055,2025-06-21T15:24:45.228Z,1.9324,231.5,0.56
CUST056,2025-06-21T15:24:45.228Z,0.201,239.2,0.64
CUST057,2025-06-21T15:24:45.228Z,1.5735,233.8,0.87
CUST058,2025-06-21T15:24:45.228Z,1.5442,234.5,0.72
CUST059,2025-06-21T15:24:45.228Z,1.9061,235,0.56
CUST060,2025-06-21T15:24:45.228Z,0.7649,231.1,0.83
CUST061,2025-06-21T15:24:45.228Z,1.803,240,0.82
CUST062,2025-06-21T15:24:45.228Z,1.5018,238.4,0.85
CUST063,2025-06-21T15:24:45.228Z,0.7214,231.4,0.63
CUST064,2025-06-21T15:24:45.228Z,1.5456,239.1,0.95
CUST065,2025-06-21T15:24:45.228Z,0.9376,232.1,0.77
CUST066,2025-06-21T15:24:45.228Z,1.7131,234,0.77
CUST067,2025-06-21T15:24:45.228Z,1.8338,239.7,0.72
CUST068,2025-06-21T15:24:45.228Z,1.1923,239.6,0.59
CUST069,2025-06-21T15:24:45.228Z,0.205,232.9,0.63
CUST070,2025-06-21T15:24:45.228Z,0.765,230.3,0.91
CUST071,2025-06-21T15:24:45.228Z,1.452,239.6,0.85
CUST072,2025-06-21T15:24:45.228Z,1.4506,230,0.99
CUST073,2025-06-21T15:24:45.228Z,1.3795,236.7,0.75
CUST074,2025-06-21T15:24:45.228Z,1.9912,238.6,0.6
CUST075,2025-06-21T15:24:45.228Z,0.1001,234.5,0.76
CUST076,2025-06-21T15:24:45.228Z,0.6601,235.6,0.74
CUST077,2025-06-21T15:24:45.228Z,1.0095,232.9,0.97
CUST078,2025-06-21T15:24:45.228Z,1.4715,237.2,0.56
CUST079,2025-06-21T15:24:45.228Z,0.5681,231.6,0.9
CUST080,2025-06-21T15:24:45.228Z,0.8034,238.2,0.7
CUST081,2025-06-21T15:24:45.228Z,1.3277,235.9,0.6
CUST082,2025-06-21T15:24:45.228Z,0.3617,233.2,0.79
CUST083,2025-06-21T15:24:45.228Z,0.5096,231.4,0.56
CUST084,2025-06-21T15:24:45.228Z,1.1183,236.5,0.66
CUST085,2025-06-21T15:24:45.228Z,1.0624,239.5,0.96
CUST086,2025-06-21T15:24:45.228Z,1.0549,238.2,0.93
CUST087,2025-06-21T15:24:45.228Z,1.3984,234,0.71
CUST088,2025-06-21T15:24:45.228Z,0.7035,236,0.65
CUST089,2025-06-21T15:24:45.228Z,0.5892,230.7,0.67
CUST090,2025-06-21T15:24:45.228Z,0.7232,235.4,0.75
